sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C21/C3,87429,0.5234984877343015,-0.28719363439715784,-0.0713448903862823,0.03161521215376577,1.1237458333904511e-06,-0.03736050428160963,-0.04430057961167168,0.052261754492344784,0.00017389632720718126,-0.0,0.0,0.0,0.0
C31/C17d,87435,-0.2750586540810589,0.16960497579276093,-0.15491091258858702,-0.3366075694920382,3.534682239051991e-07,0.02830033408739014,0.02425240508111465,-0.04647104900610554,-0.000550560265351851,-0.0,0.0,0.0,0.0
C31-C17d-C21-C31.9-C21ac-C17e-C31h-C31a,87822,-0.2902710961412672,-0.002124758529666484,-0.04846969341773121,0.14137260011285277,-2.526146418580195e-07,-0.020899298712808663,0.06269049999875022,-0.021643796259058354,0.006741808042840923,-0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.28168489856073,-0.004768131000735654,-0.04451461950695391,0.07383431234297202,-2.444383930782658e-08,-0.12246535246581722,0.11759630634651752,0.029670890198664406,-0.0029221739426767176,-0.0,0.0,0.0,0.0
C21,87198,0.2639448052210179,-0.5685343688485501,0.20822196358510386,-0.09289397419378526,-9.642563481286434e-07,0.05013868571473622,0.044585897467711924,-0.04895670051590174,-8.764394063796544e-05,-0.0,0.0,0.0,0.0
C3,87209,0.630562309768893,0.21556905630356257,-0.19622418447795514,0.017029705416916608,0.2651808224197213,0.0021961886659564236,0.007830398109020162,-0.010212326220803631,-3.775742121269726e-05,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.2851214875953344,-0.014265136931006178,-0.04113376576078146,0.13113777957420772,-2.135470617073157e-07,0.009639024088289814,-0.050346961599358336,-0.055957799401367816,-0.013169798363085142,-0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.28076268351433126,-0.020930711095464894,-0.03440229504864051,0.07277628329066756,-1.0345870526487768e-08,-0.04629835731400122,-0.09906498861863036,-0.07182615822795403,0.00785657376978918,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac,87129,-0.2565044811848454,-0.04289904232519814,0.012504623718270389,-0.11188469060043651,5.073865516972976e-07,-0.022133961963485414,-0.06257428216521449,0.09997434317609483,-0.0010827783449876532,-0.0,0.0,0.0,0.0
C1/C3,87257,0.6305619178451061,0.21556977563252747,-0.19622398795031873,0.017029000325100702,-0.2651815257672204,0.002195381749221165,0.007829856340233586,-0.010211738858931264,-3.7755888459410704e-05,-0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.2767075561751246,0.041021757685763396,-0.06009181437655738,0.10073139608859609,-4.3947840578110255e-07,0.23474552297327958,0.01677640214749585,0.0467536083761347,0.0016352634279401936,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.28257999732921224,-0.021167401828739264,-0.028017908853491515,-0.04471057767319393,3.127911620856612e-07,-0.07318763132545748,-0.02272928232734096,0.035446677010027884,0.0014675905744824611,-0.0,0.0,0.0,0.0
C21ac,87517,0.1801233340125862,0.3201176195419035,0.6546074850639239,0.0005705226543724539,3.1064189594048866e-07,-0.00487003121569305,-0.002545671168628166,0.0011722952368549008,1.3336024144609093e-05,-0.0,0.0,0.0,0.0
proportion_explained,0,0.5111532138762109,0.18089687328706358,0.1681216768140864,0.055908066477706665,0.040095184538544264,0.023766747758720112,0.011257789240717736,0.008716203540521321,8.424446642896726e-05,0.0,0.0,0.0,0.0
