sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C21/C3,87429,0.6589485749430785,-0.025863996111519322,0.01896015360859806,0.01006479972544496,0.006661134557630184,-0.004311182534436368,-0.00013770340935743264,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C31.9-C21ac-C17e-C31h-C31a,87822,-0.4789055303417892,0.023001511632879952,-0.04683520449740506,-0.04265659554266957,-0.022099949620810116,0.019711943532023435,-0.017407394682680634,-0.0,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.5341114112629862,0.013361369337913206,0.00605482438696415,-0.07969978799630512,-0.05169684513793674,-0.03415556546464952,0.006315002324262164,-0.0,-0.0,0.0,0.0,0.0,0.0
C21,87198,0.6589082874496778,-0.025782655465797798,0.018987142564759744,0.010072769359379069,0.0067005312298557915,-0.004346190480792027,-0.00014492839362351088,0.0,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.399136592911232,0.027250441026531753,-0.09133703661077228,0.013833070170191794,0.020766389991335808,0.024629528610293234,0.020131852599820463,-0.0,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.2976081735254426,0.02690503883816927,-0.11665242701269093,-0.001098406051774553,0.052938820148680545,-0.017534260666043855,-0.010622433759212985,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac,87129,-0.3761029643925383,0.05898101424414445,0.05324830575863161,-0.005432759718880788,-0.042079462974121414,0.030769881658878992,-0.002742501561649349,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.7170762192387032,-0.02164581356681848,0.02668126787353908,0.1529370688347945,-0.021132538212725246,-0.012555850189751569,-0.002486728253795231,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.4376603807995539,0.024227563905631348,0.007852184913270176,-0.02406775428598864,-0.0033389184812054737,-0.009532711102974321,0.007518974987411789,0.0,0.0,0.0,0.0,0.0,0.0
C3,87209,0.6590134961829197,-0.025959732383458427,0.01903685455350334,0.01009340551268775,0.006769218021795586,-0.004399515452656506,-0.00021654707255840458,-0.0,-0.0,0.0,0.0,0.0,0.0
C1/C3,87257,0.837761621548434,-0.28186869426266375,-0.03838759659410365,-0.00799281461687632,-0.025930338921896202,0.006855433839281807,0.00036609133275534533,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.5701926878141038,-0.0861749696735469,0.12449791393627187,-0.03956823474517549,0.07041766906404345,0.004968576630764512,-0.0006258483101499675,0.0,0.0,0.0,0.0,0.0,0.0
C21ac,87517,0.9961619801622408,0.2935689224785298,0.01789361711943306,0.0035152393551712868,0.0020242903353593885,-0.00010008837993430604,5.216419881036145e-05,-0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.9460262742267637,0.03486919108662192,0.008855720726336122,0.006581418559710637,0.002761027288650246,0.000727609007858305,0.00017875910405917798,0.0,0.0,0.0,0.0,0.0,0.0
