sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C21/C3,87429,0.619781560038366,-0.05326578296157619,0.017869105278979048,0.011222556141862593,0.006183951075745294,-0.01862191738371593,0.0020839492612211045,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C31.9-C21ac-C17e-C31h-C31a,87822,-0.508870476898386,0.04701248313053058,-0.056972558263016095,-0.040792112371294854,-0.030196453350136297,-0.02347521226236981,0.03847807532780304,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.5487871940157323,0.019470994508467704,0.039763314289733453,-0.12396492414474965,-0.06149501039534918,-0.0302651470157869,-0.024600850577445668,-0.0,0.0,-0.0,0.0,0.0,0.0
C21,87198,0.6197394304868473,-0.05320514539196409,0.017922675754814585,0.011242386871991403,0.006223173969300146,-0.01867796500822649,0.002113125928450119,0.0,0.0,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.4193508659184289,0.074151541945818,-0.12080168969031943,0.03648309778597194,0.030535409482443557,0.04472096385565844,0.0014101739048042305,-0.0,0.0,-0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.30672873771430875,0.08138458118530534,-0.15178788357076928,0.010997918392364452,0.07644461030457002,-0.043819806292328685,-0.017043855441464986,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac,87129,-0.23143632640701456,0.08258411791815758,0.062161482366401365,0.0062904092673553725,0.0003846821028441694,0.07849901208577748,-0.008596108082256531,-0.0,0.0,-0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.6311557444374432,-0.02660598876623642,0.02458959489938167,0.16085187984602423,-0.07783806649051034,-0.018847969013323695,-0.005375311715824099,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.35748410116706203,0.05889819604859127,0.022402958089600467,-0.0702069120827083,0.00032270709567573305,0.02201009773194588,0.009065117487430241,0.0,0.0,0.0,0.0,0.0,0.0
C3,87209,0.6198505747820139,-0.05336631510487314,0.017884320508127168,0.011249455460449786,0.006235255307632458,-0.018705888364710724,0.002169211163268728,-0.0,0.0,-0.0,0.0,0.0,0.0
C1/C3,87257,0.7945005754182317,-0.24097530217084812,-0.1201281885816208,-0.029887109314447397,-0.04054417031828057,0.035712099625664,-0.003993078063814493,0.0,0.0,-0.0,0.0,0.0,0.0
C31/C17d,87435,-0.5762002649429763,-0.22988616730472944,0.15518689739405303,0.0031147035075046077,0.07900014434054907,-0.0034178242740933035,0.0036238284421711343,0.0,0.0,0.0,0.0,0.0,0.0
C21ac,87517,0.9261415707758918,0.2938027869633555,0.09190997152463444,0.013398650639677635,0.004743766875517154,-0.0051104436844955125,0.0006657223656773343,-0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.9124617233471778,0.04818419039267329,0.019849768325493383,0.010572439751731859,0.005319237907447351,0.0030700880403741622,0.0005425522351022095,0.0,0.0,0.0,0.0,0.0,0.0
