sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205
A1,112185,0.0083270790101751,-0.002767104919308166,0.0017768863162539988,-0.0008999548213163127,-0.0015225009644484323,-0.0008198388818237305,-0.0007545042218684226,0.004082756211384787,-7.3049611259373926e-06,-0.0040593692517575716,-0.00016302539604439765,-0.0011251412876068403,0.0010894227848858053,-0.003776599849279407,-0.0008865065068515434,4.795828203687545e-05,0.001354308869061454,-0.0019188543350413343,4.9635877505365925e-05,0.0014569325099573435,0.00021589119489162458,0.0016349212563052595,-0.001920843643069167,0.0006445718196060776,0.0015853235520275925,0.0010484925016047192,-0.0020406660061775463,0.0015016599711937242,0.000570494239388765,0.0009924846386916365,-0.0009666196721306385,-0.0008438603429774751,0.0016217358847648979,-0.0010996750675498388,0.0008898673130640022,-0.00043639757698680186,0.0009155519861574311,0.00022764935946109925,0.000491537690273924,0.001095643487583552,0.0021529324118227298,-0.00039383941839688853,-0.001308306597553271,0.002238594710724516,0.0014672433044958905,0.0013956300569572231,-0.001271954486751493,0.001087465261482322,-0.0003990422340794383,-0.0006265656251583713,0.0006984640343054446,0.0020448138220999935,0.000851883483314532,0.00012766671818098302,1.245249557614286e-05,-0.00031303680861066583,-0.0008894271349209098,1.5198925791115237e-05,-9.365424994712836e-05,0.0004758349661554518,0.00020519116801954234,-0.00023368032841481165,-0.0004378701486890988,0.0006421441801445526,0.0015972969755329222,0.0007425472333719694,-0.0010985539163763586,0.0008176487944905404,-0.0003825529471178553,0.00024779617948675266,-0.00026564376148044844,-8.568640275712883e-05,0.00037321745088081545,1.131938139261894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,112186,-0.0021295925615506333,-0.0013574635711101773,-0.007178898581564547,-0.006641366627069486,-0.0053926266042549275,-0.00465146582884382,0.0038741348642171735,-0.0010507505436718632,-0.003107076212200447,0.0014300732137136525,-0.0036485659665758037,0.0007631249916352581,0.0036131155700320876,-0.0008022018280523774,-0.0010325817116169239,-0.0020527725940598747,-0.0009115130427422581,0.0013398449887196038,0.0015572510868604205,0.003129225049760299,-0.002027695765925623,0.004204391383494837,0.0019035521582172344,-0.001152304075401661,0.0008920033914773205,0.0030554619873033873,0.0031086442032732847,0.0029606576456234547,-0.0014869611703372553,-0.0016564859679774225,0.002166627936243788,0.0029422588661519185,-0.00033054831441403924,0.0015493087527469885,-0.003415062377111442,0.0005628192020433201,0.0015267611812213985,0.0007554545289110096,0.001546067030386608,-0.0033610133451513775,-0.00026098554937155875,-1.854364566986945e-05,-0.0004883087821480348,-6.527294682959366e-05,-0.0007879094423780612,-0.0010491633196325048,-0.0014459033430545762,0.0005089363784321172,-0.001513788418573881,0.0023750984887693995,0.0003493368244665785,-0.00037537025018899407,-0.00034039910516520724,0.0010274839183658211,0.0005950189494090541,-0.0011485334144813208,-0.0005643336659761726,-0.0003799035996617562,-0.00030034510234739123,-0.0013796539244267175,0.001778840439922205,0.00020160251640157227,-3.385258037321402e-05,0.00027973839590672903,0.0007531956256923894,-0.0003076373957345179,0.0007232648837544301,0.00047889383589136474,-0.00033116825402638983,0.00015855963779620055,-0.00033259928666132526,-6.985747577880757e-05,4.182980163529926e-05,-6.735131966961558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11,112187,0.023827905832310006,0.0009761941611552055,-0.0018949386174832703,-0.006194202032274833,-0.0053591805902926575,-0.005168503219539871,-0.004776338304189668,-0.0016418972486974897,0.006047568071262196,-0.002524769369795119,0.006448238450446783,-0.007055598030587455,0.005565533889716276,-0.0021860155337903907,-0.001590690037042452,-0.0019549548485218574,-0.0012992193070839363,0.0011500937641126625,0.0009875077375178923,0.0013603509381251136,0.007514222262369557,-0.005677777617797704,0.0011146435123746664,-0.007082971388630261,-0.005251429689594001,-0.00026264093874292375,-0.0018692904266802038,-0.004495599306616184,-0.0007243210358817337,0.00416991979747163,-0.002093024980472462,0.003675095683452779,-0.003554109532617747,-0.0027056245007399584,0.00195103753627145,-0.0032494275365643993,-0.0007224153590793956,-0.0030350522647194754,-0.002245919142756912,-0.0005476877197544958,-0.0009538949871420816,-0.0006278606913515659,0.002440050922309202,-0.0012312434992334856,-0.003017121831857128,-0.002225735536276219,0.0006838575326540238,0.00043720047738935884,-0.0010628287698466814,-0.0008052412314599688,-9.725829170481962e-05,-0.00013866502246252023,0.0011076462769192205,-0.0007915349005093925,-0.0012716812910404556,-0.0003588126248479734,-4.2939432493946015e-05,-0.0001579057659150002,0.0008848774434491589,0.0006889489718007736,-0.0005748893217356821,-0.0003729856079315299,-8.232577820383276e-05,-9.130509631532902e-05,-0.0005729172603876934,0.000557100588139195,3.9866001215293946e-05,7.439519851569535e-05,0.00022388799065377248,-0.0005204949036358465,3.893090014535817e-05,-1.572479713849045e-06,0.00011332223383524367,6.9712896861936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12,112188,0.005423874287137939,0.006333705370646035,-0.0007196618495486226,-0.0036943568016222623,0.000877063414881831,-0.005490111418738459,6.70916401591889e-05,-0.00011764109442252574,0.0034306562026089615,-0.00019431016516787043,-0.0015736081326487433,0.0019796008764176878,0.0039081706352646125,-0.002934099168908381,0.0008564161967501532,0.0037354567668466355,0.000999005729831134,0.0006997883515287913,0.00042391147092219253,0.00033155774269815743,-0.0014141621380100878,0.003521014099213601,0.0003548805215328478,0.0020125475572310533,-0.0029278681545501957,0.0007315360617885017,0.00011659107381282736,0.001387269221619857,-0.0004207508271909251,-0.0004674642375330044,-0.000751935136820392,-0.0007115551450198409,0.0013963227917487566,0.00036881054692070075,-0.00042034441108830853,-0.0019069275214445532,0.002489198582647434,-0.0004845371670232611,-0.0010528630939485575,0.0002352581779449218,0.001715043390922468,0.0022394953219132393,-0.00023230472577990088,-0.0014063048076289923,-0.0008913286202587526,-0.0013841525846831361,-0.0003177166830767868,-6.852135585533545e-05,0.0016206140965806986,0.0012828753394575796,0.002709759555160463,-0.0005742239510718794,0.00048742850032294587,0.0010183754153628949,0.0001856265047804329,-0.0002945269060209015,-6.7020969231496145e-06,-0.0002415595978995275,0.0008371903452605709,-0.0010713838563106493,-0.0014445735684766592,-0.00036439878011352905,-0.0002848446142457544,-0.0004321089320599089,0.001005558019680779,0.00011540846753628194,-0.00018314644224840505,-7.156833311627598e-05,-0.0005311032581964923,0.00022190675525017562,0.00021243341852497408,-0.00023596434443730248,0.0001369615198265572,4.532248469834426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13,112189,0.027538861171630485,-0.05314908558127134,-0.006335344664925908,-0.02725133861400518,0.0021290388147242783,-0.009095216880796807,-0.023296590656321194,0.01849398094728959,0.006010204072271162,0.008855337515248326,-0.02197381521776018,0.01659261031229457,-0.0034864748770462033,-0.00013994289938264865,-0.013385821158853901,0.021645660480804567,0.012362027762735291,-0.012834183765810981,-0.016825028352339965,-0.001592757755195844,-0.00151637930264654,-0.004091671793781589,0.004015975026329203,-0.0014526111316671957,-0.005768596114859124,-0.004042316394459057,0.0004197452022817884,0.0014295241954111677,-0.0012189334439263058,-0.00042518206863722646,0.0016215556873611925,-0.0029525816274377,-0.00365227531778142,-0.0011156925674868235,-0.0019238986621762787,-0.001714916480350212,-0.003998875839192768,-0.0012261948931925894,-0.0012313948640057639,-0.0011777605932903185,-0.002174591373287787,-0.0003916962816359268,-0.00027032138156912196,0.0012812356528961945,0.002026873952819977,0.001514420884323431,-0.0013131469218833056,0.0009564672405737438,0.00015958788571469125,-2.8454762045084725e-05,0.0005812559354826445,-0.00040144588022338697,-0.000245391959235802,0.0005080287647714442,-0.0001512706069731485,-0.0004227422414406464,0.0005763738841538227,-0.00020869967348774375,-0.0002677740680992749,0.00022762732551077515,-0.00015561732574640808,0.00020465146627773268,-1.4539664831275938e-05,6.3028455638079265e-06,0.00013799012497239184,4.0658861337561696e-05,6.204847020587997e-05,-3.221925303692471e-05,1.1032516319691991e-05,-1.5311140904087327e-05,-1.1076742177291253e-05,-1.2538322852786905e-05,-9.863339849266918e-06,8.875442736775693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14,112190,0.024941410922886136,0.01495790398041942,0.0014634235088773304,0.0031892500849210036,-0.002568546117726838,-0.007305061788623037,0.005088356937377083,-0.0037699259892215093,0.0023350848981233065,-0.004262339712101992,-0.0022332338895839706,0.0008912231372271381,0.0043003889225793875,4.554455865639301e-05,0.00311991841915909,0.001081297109942998,0.011419791354520975,-0.005651868994985708,0.0014184839785304326,0.01127325053282024,-0.0004226570615112938,-0.003511403292034867,0.008933922286249868,0.0007674258432917304,0.004595109909229765,-0.004517049132694413,0.0025842065496106993,0.0058878926839585925,-0.0009428000349697706,-0.0024307556604925037,-0.0024684174419567283,0.0034646250975516554,0.00012780930584786317,0.001431325246613806,0.00039284120508135056,0.005002651959450352,-0.0042269654242860655,-0.005226947103940657,0.00040588998422069685,0.0012613920996199003,-0.0013075109330407788,0.0013513596557196614,-0.0014925100389408114,-0.00013818462086388376,0.0006134326506546893,-0.0017923738005421327,-0.0008328574107823637,0.0002769157942419281,-0.002250895593580432,0.0017412604670295818,0.0005617751370275222,4.633754060114283e-05,-6.975944768958874e-05,0.0006926940572048525,-0.0008657067124186673,0.0004222411372916317,-0.0008673008798237155,0.00017167523952174476,-6.155537199657116e-05,3.850581839366663e-05,-0.00019623861890745513,-0.0001304497113044097,0.00035545726847630856,0.00025574791374762055,-0.00023627247395624913,6.009069164289933e-05,0.0001851641103238827,0.0002530594540407259,0.00020876157588780203,-5.662960147928311e-05,-9.394537335625455e-05,9.48507865550762e-05,-1.021349243632833e-05,-8.593213019051324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15,112191,0.012481916882461497,-0.013117099714454385,-0.012024188848857148,-0.007126699860396457,-0.00828127220587976,0.0008841629398065445,0.0013483558027161848,-0.0034953465928042977,0.0005730470200536677,-0.006624853120783162,0.00027102775732881925,0.0006212582089712304,0.008123491007283108,0.0067047684532507345,0.0020539354245916186,-0.0003467304403218253,0.008306346738041903,0.0016642920716311961,0.001154297166663723,-2.1230809918355688e-05,-0.0007764822933669936,0.006966280278886306,-0.007023255076683182,-0.007318103310185406,0.0005935751175857126,-0.006263285238627435,0.0015174742115936417,0.0031448773993066666,0.0022554745324209918,-0.0004454950525218112,-0.00031811212107553,0.006113344076910595,-0.006295220231936976,-0.003456725635605677,-0.003387994209883196,-0.0011619581072000664,0.00023071616267783193,-0.0008879245431745401,0.002731758549907434,-0.002128542951862776,-0.0019476664733051932,-0.0004487827581404251,0.0006549254113581015,0.0014657716993246477,0.0013158440462498408,-0.001726117901974602,-0.0037588549003492616,-0.0007320214827016723,-8.853998627725209e-05,-0.0010067182428446086,-0.00044985720098799677,-0.0009480790354257379,0.0005992106858973085,-0.00047418489893227725,-2.1712965569656425e-05,-0.00054324929638719,-0.00048747468220234816,-6.122351198667675e-05,0.00025908569313625514,0.00042864427361979034,-6.528807206628166e-05,-0.0002186492993626197,-7.78321225568485e-05,-0.0004150349335517073,0.0001882956683752473,-6.322976779812463e-05,-7.938877308833224e-06,-3.0091786479745913e-05,-0.00023913272217222466,-8.380895152163376e-06,1.7037788931303004e-05,0.000164277166258566,-5.528919449726242e-06,-4.388434732522628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16,112192,-0.015813814443992123,-0.0011518232888388217,-0.005466619837397197,-0.01562434084507082,-0.010662379426471191,9.851372597110301e-05,0.0008580727000971323,-0.002397748889850099,0.0013888633526908227,0.007784155549177482,-0.008301470251010377,-0.004006855862142354,-0.002531874620717419,0.002939977868271387,-0.0061454763305701775,-0.006296710237609557,-0.0034517147018977034,0.0024654880750937403,0.0015303364406606898,0.001393850656348076,-0.002860943872756401,-0.0021944338614597794,0.006320244193327825,2.84608020349879e-05,-0.004020206228044405,-0.002828508861794015,-0.00224695685355402,-0.0021289338588744017,0.0036507272805967744,0.005551707618959845,-0.003440939031736844,0.0004960197973810322,-0.003149463592373489,-0.00033415319136727794,0.00035195235665166,0.0017430677969665763,-0.0014612986474939966,-0.003813305006469588,-0.003995973816586971,-0.00369513280504923,-0.0013467032413728487,0.004650720933417611,0.00432158615197634,0.002086711036531347,0.0014104786037701237,0.0003712566489462757,0.0013495551163952206,0.0008091383755568163,5.2827532289938676e-05,0.0005694889243327885,0.0012598020921213817,-7.626903021331676e-05,-0.001611891157338038,0.0014014385123970077,-0.00044771100844080735,0.00020005289852566036,0.001158094820009684,-0.0002652617127498328,-0.00030152662330846434,-0.00010519119185474358,0.0006197586527198724,0.0013012062086191515,-0.000666244320309637,0.00041528651606705455,-0.0005708935487717873,3.23409168276297e-05,-0.0002664904755821757,3.424171260109014e-05,-0.00011878835489519676,-0.00010216287842080502,4.061763888118661e-05,0.00014105147363062008,5.2338984360694775e-05,-5.0667997715512544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,112193,-0.004789956305146444,-0.015330424817778314,-0.011525760740913257,0.0008025276613641115,0.005613222431890879,0.0017345481716396459,0.008617521602644795,0.020306912184516187,-0.007590738251130511,-0.014686591977499283,-0.026287250247887625,0.005993543366971336,-0.008313723805761094,0.005211312656431201,0.006194112938618592,0.003989833385052748,-0.0035852663715549393,-0.004738387660164485,-0.00960918515804582,-0.002323892755710957,-0.005696404628832934,-0.008165440509648212,0.0008901059369904474,-0.0032427939430361478,0.012157605111493526,0.003679916840716954,-9.241442025953183e-05,0.0009614999856015988,-0.009964778214945819,0.006190739806460598,-0.00268298644796882,0.0031631722750386053,0.0018031668957287248,-0.004972667913264401,-0.003029618102435468,0.0015474297866084163,0.0016768948959421481,-0.0032769500895717062,-0.00043585353618130806,-0.0009166453021986736,0.0009109298921963137,0.00045113246039984583,0.002991910597719909,0.002084926705683532,0.000812119868686677,-0.000677875081776022,-0.00011973428034632385,0.0010886578496600145,0.0013535884422921627,-0.000376840016889337,-6.6741901235287e-05,-0.00015554228828292699,-0.00028295217124022556,0.0002786948008007639,-0.00014832807289332628,0.0006851184415105489,0.0002034907115911215,-0.0005524479445442595,-0.0002616899609460258,-0.00023637817287654436,0.00037261262150971216,0.0001452711388102901,-4.040224780678427e-05,-0.0006029230541872745,5.1225783459703714e-05,5.3222082109695236e-05,-0.0001236822030261737,-7.068894935692024e-05,0.00015080566709258923,3.800356081750143e-05,-2.166570875752358e-05,-1.6209985984403017e-05,-6.274481075921181e-05,3.4000270075928005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3,112194,0.006160904689189294,0.0009396791004694852,-0.006767926201235419,-0.010049941265997989,7.138600863531749e-06,-0.0021088992541100308,-0.0010107317221727161,7.455383572763297e-05,0.0016644561777471192,-0.0035107638963058456,-0.003618328144141608,-0.0019836202058678594,0.004287868624860249,-0.003687732514609594,0.001519996742734684,0.000993881280909888,-0.000597419436863983,-0.0008017569187689915,0.006469978471280553,0.0003735541231769847,-0.0024608507960051543,0.005053751602060329,0.0016933708589548257,0.0001714311921271096,0.00046352086370795393,-0.000573249507080126,-0.0010048314344834,0.002792825377382766,0.003510054560562066,-0.0019475852405489952,-0.000813275386915148,-0.003461242489804533,-0.0011313053380920199,4.4447039366267e-05,0.00047643705543172536,0.0014674955012162277,-0.0002891421314033887,0.00010355164584021076,-0.0008878337999863701,-0.0015380657993604783,0.0017659218981626685,-0.0011529695706676184,6.13872089916834e-05,0.00015287367164571136,-0.0008980773066159647,0.0009316140387300951,0.0009202403768298778,-0.0002469332342149803,0.0018076658605273013,-0.0011719632377379713,-0.0019905346785547414,-0.0012632713847334012,0.0005159286241035495,0.00075117160927441,-0.00024243483673600828,0.0006377565558197644,-0.0001307806131944799,0.00047290364981007467,-0.00010079979762697397,0.000353349009552429,-0.0005350066293569821,0.0005735350724776487,-0.0008244112051402753,-7.752068423334125e-05,-0.0005633944610096165,0.00013902760474348693,0.0003994317660128817,0.0007585792117007427,-0.00024141335735136527,-0.0003022417296003023,0.00030598995274350697,-5.116170867293019e-05,0.0001461112426181899,-9.857969211402514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
