sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205
A1,112185,0.0008795677882687204,0.0002894783697184579,-0.004130020378472635,-0.003060290635560278,-0.004626039249695965,0.0026185925635138236,-0.0014181724506607573,0.0039234715474759495,-0.00332102734498462,0.002927909173517417,0.0009665289149916168,-0.002896828646939735,0.004543759998413942,-0.0014039652527037538,-0.0017463928059031956,0.0015619391219245543,-0.00011842907321414238,0.0035726273012550974,0.0005253835541786316,-0.0005905142832470325,0.002210402718684707,-0.0010173621057979827,-0.0030983764825934677,0.0031479224150580526,0.0004099508576541235,0.0026652164058234497,0.00036587690776052805,-0.0019348014300496928,-0.0004189709754304684,0.0009724834925185749,0.0021685288920216916,-0.0013181919722595422,-0.0001571354112010703,0.0008480151170228898,-0.0008644383655034404,0.0005516354034776092,0.0028287510172840934,-0.0007621270952839698,-0.0007274532552698448,-0.003719344954565157,0.001247293816067122,0.0007359193190148075,0.00023952338810697316,-0.0009357786252895438,-0.00012335171033803747,-0.00019218124694890483,-0.0002862429727083111,-0.001712190357033238,0.00022447488823367645,0.0018739423377680247,-0.0013061244947110277,1.3815083255312348e-05,-0.0021208380150013924,0.0007404260526137211,-0.0009310720961324407,0.0013732101085535998,-0.0004852970217312114,1.1378158519242478e-05,-3.6659524091026385e-05,-0.00030656104194843735,0.0006237656081156745,4.690940842967616e-06,-0.00014061470206238856,-0.0011625132325735138,0.0016950627357079633,-0.0006630684701612065,-0.00018017412629076472,-0.00016395471836973933,0.0004103693057302381,-0.00029134380575919527,-0.00037930888971193745,0.0007950488201505199,-0.0004852377731370778,0.00013551528094462515,0.00034308373737766977,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,112186,-0.00772768031155139,0.005178965897383987,0.0017859119546340236,0.0007670524106474095,-0.008557706882315911,-0.008294272475024773,-0.006475508731952887,0.003443648419427279,-0.0068563617474017655,0.0019082399154671005,0.001904432019229141,-0.003308040514728613,0.005223805364482255,-0.0023648549854755497,0.003173070695066188,0.00736974474130077,0.0018551905294596045,0.0020501609637244515,-0.00048504317574169826,0.004618687245799624,0.0022568178977928808,-0.0003691465019199086,-0.002671714516738609,-0.0005800663830521063,-0.004917802119159299,-0.003179005883431999,0.0027816489353968696,0.0012662968077272138,-1.470491204484702e-05,-0.005249646417367243,0.002642624821866436,-0.005087948025613044,0.0043058644157241135,-0.002243510971200926,-0.0024881828828805584,0.004147920157221514,-0.002004768076341222,0.0005562189085451916,0.001060440840261937,-0.002366642136793604,0.0032358023661258925,0.002156740229848154,0.00023473920322407348,-0.00031340876675411223,0.0028732933928542247,0.0017340176435979334,0.00044737340374046005,0.004330610271065729,-0.0009509670428184737,-0.001124784758367469,0.0006666247565017949,0.001993376554668164,-0.0002671299697726238,0.0026136455474655602,0.002769843609011861,0.0028518751769189567,0.0010885962570797187,0.0007374486392130867,3.699875907683221e-05,-0.0006222657625408955,-0.0001640289723063002,-0.0006505978643079617,0.0002705859856454712,-5.1963349670697843e-05,0.0006817118367332981,0.0009579478441682187,-2.9866904127799055e-05,0.0005554377091216175,0.0003824914984633771,-9.146730375972184e-05,-1.8408515187069103e-05,-0.00011752827212901689,-3.9159504283175374e-05,-0.00011178343727852029,-4.448056871671603e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11,112187,0.0033152230425304084,0.013828671324398778,-0.007448962614244101,-0.005907882865108265,-0.0013671169021982402,0.009516921810840719,-0.0055174721673354014,0.004922090080619833,-0.009038354276276146,-2.3497447363260865e-05,-0.00554169589361634,0.0007756869065951464,-0.003906129898020929,0.0005047593028199005,0.00698495106054436,0.007903732137251296,0.0011450575878019292,-0.002584362268923339,0.0031699131359331956,0.010080430266519707,-0.0027169201645408283,0.013210186093796381,0.0012509298353932498,-0.005681692274295029,0.004314083181245183,-0.0005731152283110764,0.009723953440918035,0.0017173034611596607,-0.0032513282795538596,0.00550603368469829,-0.005259881607988925,0.0010631042733554124,-0.0024033154443105892,0.0017463524463638207,0.0034070823761442708,-0.0007313450104427517,-0.004400763968592788,-0.0011674844369765202,-0.004917826065934116,0.001066011574011525,0.0017779699714193713,0.0006388425157834705,0.003494650069031233,0.0005731976679066227,-0.0022521736028884905,0.0005771871343921934,0.004635732497031741,-0.0002070486721981687,0.0016306354500650094,-0.00020021071162602117,-0.0011871912861506435,-0.0007550768509740708,0.0008715274265510375,0.0007601686146832072,0.0015614658779996016,0.0005489255097720161,-0.0020811347966856546,2.0678174877435596e-05,-0.0005250737773033723,-0.00043145144575667106,0.00039782859806676904,-0.0001777986340955062,0.0011004629554116675,-6.657816381339855e-05,9.763929471982641e-06,-9.044350083477367e-05,0.0001886483874691484,-1.8355195410936838e-05,-0.0003248387472784934,-9.66364606683524e-05,0.00015225518632973887,0.00021323807567420253,-0.0002191859678595205,-4.415069970421688e-05,-7.110875706425552e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12,112188,-0.0030326253111846203,0.0050453121781400476,-0.0009990645134856622,-0.0061594410350466165,-0.004951113404291415,-0.0004218409771497053,-0.0033262066297621304,0.0038178220620338856,0.00059009848416727,0.0032294114832508766,-0.0031215467355554787,-0.0005138252339221354,0.0011539944038392361,-0.0013950179088105272,0.0010531745417399372,0.005951972736616712,-0.0023139100980852497,0.0009309824966077537,-0.004747485939687947,-0.002742231457105509,0.0032250964028669457,-0.0011015957565003196,-0.0007935349134188036,-0.0008412223768721997,-0.002712486231805113,0.00017859882273633457,0.0001218410819968269,0.0005237899426736851,-0.0021388062088515173,0.0009404383850590183,-0.0016071959329216688,-0.0026690335489105146,0.0013609602609858727,-0.00616483911848484,-0.0029544509637778283,0.002317749864278161,-0.0010902372695183135,-0.000645743526222501,-0.0007280545253288485,-0.002728018044118723,0.0023660156701969495,0.004086074267365438,-1.92349260923357e-05,-0.0013628517036181616,-0.0015409914061133502,-6.622195778121491e-05,-1.4004915701747223e-05,0.0025275934228403438,-9.557982817202693e-05,0.0006888144154967396,0.0024762201515531367,-0.0005849485165474693,-6.906891157858137e-05,0.001560222187699065,-0.0016960245965994606,-0.00038701143600950957,0.0010252832711354967,6.911626591268771e-05,-0.0011982909860090538,0.0003872517638240407,0.0012406693790251498,-9.757680862835137e-05,0.0005909477177063666,0.00017716043530861247,0.00011836229265402947,-0.001450603029234984,-0.0005045337354550222,-0.00019063241657155293,0.0006387923892757498,0.00013438245759556002,-0.0006233852161822147,-7.760506057674607e-05,0.0003138209381278722,0.00024684136645259356,-8.671059105314664e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13,112189,0.030307927330681366,-0.02430937755936787,-0.09402759326503324,-0.01943418353132699,0.029532605459775194,-0.0025230238846352454,0.007347596276480708,0.032136334581120946,0.03715916264653122,-0.08080289324601911,0.007031810352190939,-0.03214505436053337,-0.037388017705122116,0.0016275050572633776,-0.00670521100145349,0.0174708374258392,-0.03058458987878273,0.010760101087980112,-0.016302445095873044,-0.02141134387568896,0.009696241577083176,-0.0053222839917377775,0.027859822199734003,-0.004018263584810567,0.007303283218828835,-0.001625205034656116,-0.01373718780246052,-0.0029729144847495718,-0.0025197590541414703,0.00810817121288433,0.0005788034130622449,0.004765435150165213,0.00809784808650865,0.009012614136577772,-0.00032133195721058895,0.0035953328904441925,-0.0031527689072619277,-0.001104929974215716,1.044922982979522e-05,-0.0016011171901881096,-0.002238977675824331,0.00046521221881626914,0.0008944130612008355,0.0005654280365163319,0.00017341999507163085,-0.0001620842867064706,-0.0013344961983092968,-7.631531268127256e-06,0.0005218037409095527,0.0010338565869397022,4.8683461915542126e-05,0.0013567166340397521,0.0002615704162168856,-0.0003988391253652885,-0.00038496810703519025,-0.0001633247658342354,0.00010731947481039088,0.00010349230769261887,0.00010787778351525522,-3.276474683106379e-05,0.00013594517243747372,6.777269424373917e-05,-4.688083115799839e-05,-9.911097733598312e-05,-1.043144438507882e-05,-1.1495456301100287e-05,4.842634948586966e-05,-3.7117980855679525e-05,-3.897428748769456e-05,-1.441318801038075e-05,-1.5007430130752602e-05,-3.480836644092281e-06,-9.968552695337092e-06,1.7650863258754535e-05,6.380869305682146e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14,112190,0.014241180611308706,0.022956723169604773,-0.011362596238527888,0.0035059759004064696,-0.016274151797070927,-0.003378954729330961,-0.004244063744890946,0.009887504475054877,0.018917361095623215,-0.009889008328742463,0.019728035000672803,-0.009967369056305015,-0.0031191681863024217,0.0028086597589557878,-0.0065984118673403265,-0.009070105904358573,-0.0021998033619205037,7.654846564136158e-05,-0.019977256552075745,0.011390431647726984,-0.0011884239600420043,0.0017271665063031724,-0.006519886991088728,0.006178884239070581,-0.002030536555699261,0.0004753245698117033,0.009119428817038705,-0.005705082397566347,0.006412722662381476,-0.0038489469303230315,0.0030913336221983063,-0.012486619350640358,0.002074910348447489,0.007303523024075329,-0.003917564918391492,-0.004699578207095152,-0.002932402127358102,-0.0014522057092710321,0.004245677272870347,-0.002449389881021537,-0.0005124288047134961,0.002987447554804618,-0.0006614857703593882,0.0003781542963412801,0.002425694275436865,-0.0006613753901505476,-0.0023832213082272888,0.0018066358452764936,0.0018602968344074125,-0.0012475394809714014,0.00010509513745536616,0.00039161832703328174,-0.0007813623735391573,0.0006590599520389471,-0.0005971254769890488,0.00015088304391821912,-0.0009038616026077261,0.0001416872625124653,0.0002774449934027967,0.00018925389847914377,0.00013982583077459465,-0.0002531808091587611,0.00023531181510755647,3.984904221466165e-05,0.0001297933531232401,0.0003393173972542198,-0.0002754499573900201,-0.00011629995320588465,2.5552358857473734e-05,-0.00015627040125105898,1.9003529681709217e-05,3.244011516798637e-05,4.609895222549579e-05,-1.3684092219607786e-05,3.0415634704103913e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15,112191,0.005554531147863127,0.008856847247387375,0.0009790126586678688,0.011895518817523794,-0.0013993754402690612,-0.002113717807231381,-0.007738807416004062,0.011841857738928385,-0.007642357210488964,0.01900006562058715,0.015800256840091148,0.007111528841505616,-0.005128356226472764,0.01625348178926519,-0.0065519633917916695,0.015486587759441613,-0.008449273806884055,-0.015580741917491802,0.0015125902967950185,0.00694034232641468,0.013271832057886429,-0.004099701068391996,-0.013885279278108042,-0.003359584734710959,0.0026183543842929822,-0.01090087727932199,-0.004905962225799854,0.004624199876957159,-6.175293102801228e-05,-0.0037814980113818905,-0.0024233553831168463,0.00029015087153585513,0.002475100019199396,0.00048195629860802255,-0.007463267190052236,-0.0015098266362243117,-0.0011811973076668281,-0.006594461962735238,-0.0026709989223898094,-0.0036094836913408627,-0.005851490335838294,-0.0038966168969447965,-0.0007821123312487354,-0.0027037021390045038,0.0020519982078487497,0.0031704558737522615,0.0028801880220487423,0.0016565527279399522,-0.00044074710372921745,0.0024740185489427096,0.0007160646174818113,0.0003172149333648518,-0.00042400724843837215,0.0003434012368722862,0.0001703303850709487,-0.0005936151786669807,-0.0003347281771804459,2.1340752652896424e-05,0.0002479083141206192,9.448907453759444e-05,1.749371976353453e-05,0.000185068387747706,0.00010091752586327015,-0.00021826480508338708,2.9345349233612384e-05,2.1482048964482055e-05,-6.029462393039487e-05,0.00017803559074629685,-3.0091098476944312e-05,2.80133007712204e-05,-2.1615222816534238e-05,6.523804951846325e-05,-2.5772642102465626e-05,1.531205370238415e-05,-1.2922356084579385e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16,112192,0.020244771791687377,0.0033729100043308575,0.0011774354331590764,0.007884310632586005,0.007652077450789642,-0.0006159897547657218,-0.012168325936618905,0.0038475721718819068,0.0035391168281257543,-0.023633991916655772,-0.012449366373755004,-0.016770157564178823,0.001567778018182574,-0.005150555967895022,-0.011050167820898727,0.022969118240060316,-0.001193671461214217,0.0038282888197770934,0.023455315728242047,0.007598858192333499,0.007802207905419565,0.00462698980018853,0.004082451805564196,-0.020339186558311878,-0.0033217100084541105,0.002235280296374289,-0.0023773064174891353,-0.009085301595203474,-0.004498477420200486,-0.0012814913481697888,-0.0018930623464599365,0.00457301818697999,-0.0003627989201280242,0.004870709392466559,0.0025147444975233257,0.007446831366580773,0.0058512907066744484,0.0023665356591905952,0.0012256978871670865,-0.0018391398109416516,-0.004084381155933778,0.0029168374407328346,0.0027193058338855795,-0.0008457470013207073,0.0006163182412475795,-0.0007097201550735542,-0.0008857249574949879,0.0018175278269603398,0.0007833534959989162,-0.0005410156679601423,-0.0013757374721134086,0.0019118230754941294,0.0004948772593981285,-0.00021891759591706936,-0.00026135232528375985,-0.000983316123803624,0.0004064393218397834,0.0004142703686470941,-0.00019733159826698708,3.842482146492975e-05,-0.00030417616497235714,0.0001195717527200951,-0.00029846022237370166,2.9412919695031058e-05,1.663342182447465e-05,-6.124681424516582e-05,-7.383586790925208e-05,-3.9516634333235474e-05,-8.472294787238327e-06,5.425720959945372e-05,4.33052666108333e-05,-8.976013371495966e-06,1.5995706124258253e-05,1.4619603441565866e-05,-2.2672444403455356e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,112193,-0.0633266773480271,-0.041520247231801984,-0.008732525768952054,0.04560735769248883,-0.021423994951526238,0.003347602600512004,0.0265966289365025,0.03368400696866085,0.05233641290637054,-0.053607623812603145,0.03695612284756902,-0.04040189449325174,0.025891657025026972,0.010092412137556756,-0.04182853392676692,0.01819932460274139,0.005304479747240852,0.004952497269576987,0.004228811893036903,-0.007667070083765222,0.016317657113341096,0.021289368883247305,-0.022679207358654346,-0.0007912152102266198,-0.00535589088491888,-0.00184974934815888,0.010901967599145176,-0.015931048213959926,0.002553384325778026,0.007411967125874405,0.006267411027826876,-0.0011826230774931875,-0.003500931285576714,-0.005656758600839566,-0.002295464342472887,-0.00013914639691089517,0.0031408527622108023,0.003929817305024604,-0.0037129959340262498,-0.00010577282718681964,0.001152869299854285,0.00099714474660773,-2.4658836781144182e-05,0.0009357786323522468,0.0004093478529965046,0.0005820514036155795,-0.0004991960171148962,-0.00018993177708863032,-0.0004893962935987292,-0.0006163366260910682,2.3269180498038828e-05,-0.00042719985109308155,-0.0006186468523626069,3.0805690153610827e-06,8.381161269437518e-05,7.405666553865562e-05,6.294653025870603e-05,7.645398746368177e-05,6.759825229600302e-05,2.2043720376581214e-05,1.402848074695339e-05,-3.0760461281490907e-05,0.00010732256261472766,8.187021548850138e-05,-5.7332082074912485e-05,-4.9422395550949236e-05,2.227244069898034e-05,-1.8583625182568866e-05,-1.408348225192986e-05,-5.722705119193486e-06,-1.584797314990793e-06,-4.25531583603072e-06,-7.47944741587332e-06,-1.0681838528189001e-05,8.807380446412913e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3,112194,-0.005271675763212728,0.006600400967295833,0.0019505472771741668,-0.00039045636324330606,-0.001896229798643442,0.00034011292456505895,-0.005417755344636323,0.011268829077702372,-0.005734789892126101,0.00011017989144879093,-0.0007673547732546764,-0.0027669250672451447,0.007143681466110523,-0.00031374592884199213,0.0024950215271879643,0.005628535133110173,0.0014981090392068603,0.006058628169886039,-0.002667316511031191,0.0015386286167214692,0.0031574075461696274,-0.0012717748563376254,-0.0011032610750782439,-0.001409793735519625,-0.0031266146793225693,-0.0024599879523932357,-0.001181687994912909,0.0010972338271210136,-6.0626704498664e-06,-0.004349231847229172,-0.0013717436765238989,0.0021679995648510217,0.0029406419770070143,-0.0024435783429192282,0.002351302715232049,-0.0037378796374387875,-0.0027726557716187014,-0.0035554014680355055,0.0011314856984891097,-0.0023758957075145255,-0.0016515597608676583,-0.0004600765178923472,-0.004286554516791963,0.0010654032924977237,-0.0021056142224381734,0.002981979733198068,0.0020768599997994922,-0.0015739380485254736,-0.0025836561692607653,0.002533978776003254,2.663026709100928e-05,-0.000707792208461084,0.001000123443708474,0.0014548870974485232,0.002041359864800608,-0.0008059278760899277,0.00017930277540886594,-0.0010140909506142174,0.00022639290937298865,0.0002316531236062845,0.00015920034745209473,-0.00040434019601589107,-0.00015032085045687003,-1.5081049787802585e-05,0.00036848343488489775,-0.00023117457539059322,-0.0010145783111053313,0.0005077700606760967,0.0003645373068460281,-0.00017506346972848236,-0.0004078671370790689,7.041400109935376e-05,0.00012599854483443613,-0.0002967117820475642,-5.854584682558573e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
