sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205
C1,112217,0.016199011224027983,-0.0021424681529476934,0.005109016792016569,0.0036006826309299984,0.0027953924692420253,-0.002520661901110153,-0.004768193008862599,0.0090272971365402,0.00026494089460183155,-0.0006806048144125191,-0.0008218479659613878,0.00424668698540168,0.0016070721149568192,-0.0032445715725147486,0.001423157758945834,0.0010027967159425817,-0.006787313529998136,0.0023552075359838743,-0.0019291753524984855,-0.003191876318530188,-0.0004304799083348651,0.0005533828858762054,-0.0009575716625600015,0.0021984561328498536,-0.0026596403490408535,-0.0038740552791862036,0.0004602974317498039,-0.00018315397771577707,-0.002866433608413194,-0.0027104518134632746,0.0022469278187009756,-0.0012025604972799749,0.0046578782975481665,0.0020181865256464807,0.0010264480090216312,-0.0007522281800433711,0.0016360743923612695,0.00035241268521593307,-0.0002799726857345169,-0.0006140398204191095,0.0007417955766504696,0.0003745167944700119,-0.001162571718507092,0.00039802900985879856,-0.0006352488989703211,8.416686599287544e-06,-0.00042184533409344324,-0.0004406515705118852,-0.00023652018950304378,0.0005205044446635087,0.0024281276258158076,-0.0007935366154850655,0.0008462434099212077,0.0017092031139969673,0.0011469851267926242,-0.00016587966381151892,-0.0006511718581251217,0.0010394862433579194,2.2528801235849575e-05,0.00019367710631096384,-0.000797604300011821,-0.0002492046609834258,0.00022185499045520047,0.00011714672742270839,-0.00011499566584993544,0.00013737425774649583,-0.00013690890135061053,0.00023222463789201105,-5.036262729927903e-05,-1.3301912476672465e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10,112218,-0.021013114899947043,0.004530859297266498,0.003688389550443642,0.001443234549187667,0.0017085547091666446,0.0006732664398603588,0.003613781828042067,-0.0032583127998137866,0.0015921610657902451,-0.0022863507728057924,-0.008497368954634803,0.006546311244231591,-0.007646423817270209,0.0006324547154503798,0.005595973855028252,-0.0010813156807857134,-0.00443197918458428,0.004835754827876889,0.0010718838284929325,-0.003142948532853505,-0.0008727534103940353,-0.00039132530106496694,-0.0003194167120464021,-0.0006796704400387464,-0.001792718785789144,-0.005255529648675104,-0.0028805302850073715,1.9229501008431768e-05,0.0006611947977929976,0.0006837204818125361,0.001576927960287515,-0.003915207311108661,0.0018058709758767963,-0.0017129553146369232,-0.0017750970497055376,0.002173582251652107,0.0018134930464792321,0.003184080534045231,0.0007037941114056381,-0.0015309175717521043,-0.0006298716082435797,3.1078571957685935e-05,-0.001203774241491985,-0.000801579440825608,-0.0009566826589359987,-0.0014381945430009123,0.001611335630796624,0.00015159014517203033,0.0005808302441358702,-0.0001734334842388517,-0.0004036992266970596,-0.001194836909201076,-0.0012889740389133322,-0.00022035535606321143,0.0007301973688775534,-0.0003573495600183648,0.0007795957176022037,-0.000519729081312464,7.09143089119458e-05,-0.0003763036723027535,2.7738986702946924e-06,-0.0001860118791935295,6.916165839314005e-05,-0.00016836315590010493,-5.246757578226969e-05,-1.1668182235542228e-05,-2.738900531187985e-05,-4.921727038986164e-05,-6.609344933685048e-05,-8.664096604530028e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11,112219,-0.001686924581965252,-0.027330977966367125,-0.013252885010120721,-0.010219689997908286,0.012631285389696842,-0.008234891958619527,-0.00040321637772228593,-0.008719119228216811,-0.007816308876666124,-0.002440531218880913,0.00012324376488114558,-0.010406519553213147,0.0020079050315890963,0.0010936913216418685,-0.009897243874039478,-0.00599249766830583,-0.008179968473192622,-0.010476058579605969,-0.005327648770424428,-0.008575756232548292,0.003905703603315338,-0.003795736042141117,-0.008463001391054197,0.0037515313286945215,0.0036649371316809063,0.003339359382002432,0.002472417292466484,-0.0021115207359534427,0.004900026378630737,-0.00023587494238782713,0.005161741870265974,0.0014100800702862538,-0.002437631794072489,0.000998687880938167,-0.00035956516541947847,-0.0005640769099549532,-0.0010778032738136937,-0.0005716988986244281,-0.0014231136833873239,0.001127693894981439,0.0011610219746683345,0.0009814460077531518,-0.0003657657611041655,-0.0007555452627525413,0.0004455547454056746,0.0003138191993967088,-4.3642980197623426e-05,0.0007312465290403744,0.0005455927637048861,0.0010864074568284786,-8.853763239256e-05,0.00033799449106313773,0.0006424773094384937,-0.0002022857107268156,-0.00013460179281768944,-0.00048314030690625254,0.0004253415326069813,-7.999517313014475e-05,0.0003170605531335028,0.0002267823594546545,8.858109249543355e-05,0.00015234932682742304,1.521108145868161e-05,3.367306210289307e-05,-5.4948075877708816e-05,-1.260282802401208e-05,0.0001116457275403862,2.9588759307348654e-05,3.8084911916910975e-06,-7.137041346919914e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12,112220,-0.0040113638248490385,-0.0009477534320156456,0.003382336055348603,0.0006259387579131265,-0.01674144277473334,-0.0029380589758347194,-0.003096829881386069,0.0029792358286779867,-0.0045058761017568,-0.00014414391011748073,-0.0016401768324073127,0.00015359278319202434,0.0010101999252956828,0.0036695261995111157,0.0017237603317585887,-0.00014794370277739074,-0.003066667418307167,0.005667540766957943,0.0007744447578675437,-0.0019098593394799835,-0.0032978738272611287,-0.00285351979611541,0.0018840219432646674,-0.001380801229262994,-0.003450393087256142,0.0012161727960647414,0.0012805854138515755,-0.0005562658194301775,-0.0023587192002057058,0.001313442762726417,-0.0005662468137654855,-0.0004082027297101211,-0.0007558204871763029,0.0012876288649962347,-0.0049251859755809575,0.0019122285472374949,0.0011684113896774885,-0.0021832972687069077,-0.0012550719362230162,0.0003395354139212203,0.000973946267702117,0.0011388868807777534,0.0021654364039514797,-0.0006029205340204251,-0.0019717164635547593,0.0007249793400700143,-0.0006907066683137211,-0.00028386464367603786,0.00017073164341999705,0.0005658407783025023,-0.00047738279305188983,4.50159656418836e-06,-4.2864705617946866e-05,-8.037441480495247e-05,0.0005404265391530798,-0.0007326928421713542,8.335930962310671e-05,-0.0003380075037676186,-0.0002750521056723233,-0.00047815956543603743,-1.1493581114791737e-05,0.0002909678725771118,3.813250851655679e-05,-0.0003479760058695195,-0.0003350601848190887,-0.00020368603089035284,5.591013340770168e-05,-3.292872460843876e-05,3.810543084625989e-05,6.311985639301621e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13,112221,0.0032043864197026815,-0.014711004634888147,0.008233874960967905,-0.0015548561389567219,0.009053430048271872,0.00470042090682409,-0.002511170416530591,-0.0019770096030158916,0.001095941169677983,0.004333387304352798,0.0031611749460993075,0.003196711964829185,0.0023514592263014283,0.00015967114054249866,-0.00475773801229701,-0.0035556636427335336,-0.0009536687273599661,-0.0005574778388186798,-0.0055605906749482525,0.002144143683494437,-0.00032712547280620624,0.003213096116869706,0.0019101415708664697,0.0036840261109664556,0.0008642077798069471,-0.0025406023866574516,-0.0008479455566499601,-0.0023549419049795485,-0.0005428829480637581,0.00020012815923447534,0.002579326978715794,0.0023111400083426583,0.001141977319633114,-0.0035225014228158096,-0.000889188323234328,-0.0022133066528687824,0.0004493294170271471,0.00011212556173651573,-0.00027822392189037916,0.0017727697950455485,-0.0015856087927090545,0.0004691907579321999,0.0028696404618059833,-0.00041889756772975925,0.0008195127542853338,0.002905112043806416,0.0003309525832841719,-0.00038110009220091237,2.6018118543904226e-05,-0.0023490473782988956,-1.7453718836115472e-06,-0.0013432425096527873,-0.0010361283852190343,9.949316555661744e-05,-0.00044401164626193406,0.00034634494495939307,-0.0005012271363133734,9.909776478983836e-05,0.0004423175039024809,0.0002552090621995642,0.00016328994227845944,-0.0001161574461395849,-0.0003566912557880852,-6.395189569447578e-05,5.5251362468105976e-05,-0.00018448914384097906,-0.00012065354204193011,0.00019666837940411047,-9.476672921342044e-05,-1.028393224006242e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15,112223,0.0006797392292770903,-0.007428021423153142,0.007658089305369041,-0.00048004882253466414,-0.009665489146779225,0.0005052826042908266,-0.0023092552673657585,0.00020373472200786453,0.000379587403204547,-0.0017034537722543045,0.00030831869470685397,0.004607602788570276,0.0020242834220843887,8.755053546835238e-05,-0.0002995321562778782,0.0006711725221442384,0.002977486932938019,0.0035624217559602723,0.0006042153275825196,0.0015752558161512722,-0.00316193927103468,-0.0012948837680685046,-0.0009752697353661979,0.0020261837705535923,0.00110265562987366,-0.001131081587976772,0.00036548845886441193,-6.3005384472621875e-06,-0.0022687411353143265,-0.001918480943799884,0.0018773181659308723,0.0013441462785388607,0.000532678926558297,0.0017201293016496113,-0.001090393171777218,0.0015085036074082767,0.000510242924455235,-0.00020797982890201165,0.0029797711056582243,-0.0004310051774756424,-0.0010545531015548758,0.0006247708649135205,6.673677446661898e-06,0.001485356982716748,-0.0014765281984325152,-0.001651006758355821,0.0008582728318033845,0.0004891995885814928,0.0012435241914064744,-0.0008046985248125393,-0.00022305893708788926,0.0007876945549525117,0.000577928358315245,-0.0003756172077777917,0.00029274929686662446,0.001223800255019311,-0.0015571494253714525,0.00014578122732757258,-0.000635291392187255,-0.0007631399570692029,-7.990372263422246e-05,6.026832164205888e-05,-6.446473003754969e-06,-3.042102273148938e-05,-0.0008742086031326621,-8.668844957459605e-05,0.0003622567445356267,-0.00012143881069069311,0.0001722824675759575,-6.275598317996282e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16,112224,-0.018001005624947334,-0.012348579612419612,-0.000203572880371982,-0.00688836153286344,-0.006589229520460775,-0.0019443720591019152,-0.00010556039081176186,-0.007096118743684159,-0.004079596428922356,0.0029814054189808243,-0.005113804446346813,-0.004187718884273049,0.0028080452042572586,0.013149843248797229,-0.004541694056558397,-0.0043405335370984175,0.0009452840788768039,-0.0024710655824209692,0.004250052805308925,-0.0061480450673089505,-0.0002576860738164518,0.0007449761449120139,0.006248288862991933,-0.005154247158149384,0.0005132015651462125,-0.001921000942589095,-0.003593066863857619,-0.005251212911998664,0.0002017000536017977,0.0005640579047686387,0.0012473535018461494,-0.0009786057956257272,-0.0013449914175176806,-0.0022686791579834024,-0.0027440208145558245,5.382945432755036e-06,0.002267969729892508,-0.0048641521245245305,0.00014780127222911062,-0.0004123673764727709,-0.001490630850266443,-0.0009561383874108876,0.00019691344371813713,0.0004099102472492683,0.00011280308878578624,0.0008040457853701004,0.0010674729549396875,0.0007548382649113176,-0.00021675574927982382,-1.277230505459446e-05,0.0012388881461122742,0.0010548583158478096,-0.0002574736669865638,6.519653549386215e-05,-3.0258486730960106e-05,0.0007079380926199648,-7.585510331430531e-05,-0.00024216281093756106,-0.00010089049442142536,-3.325822560689524e-05,-2.7965970645521872e-05,0.00010968021244851515,-3.178083320369083e-05,-2.2699017109341627e-05,-6.498559435381046e-05,9.144539731474297e-05,-9.743962152182207e-05,4.136869292907531e-05,-7.546815401762386e-06,1.789413802126504e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2,112225,0.006935738020088328,-0.01659069972995822,0.004823427796263219,-0.001927159833142692,0.005560161329444331,0.0006660986745235422,-0.003317800972094372,-0.00017564689334295,0.000924881620674737,0.0012661175311180595,0.0020213540482960884,0.0003505262085301165,0.0036296705840823135,-0.00023069023936112971,-0.005393583834572998,-0.0033463817159476834,-0.0008230741180241689,0.0023923956823076096,-0.004906776128929954,-0.0016306478748072549,-0.003612692895375834,0.0003170338223635382,0.001744907009599665,0.004128499448659653,0.0011718696334555893,-0.004336450919417148,0.0011811322302006063,0.0003059698935762674,0.0026763371818722364,0.0021471996141964474,0.0031115349783760503,-0.00044458350943655096,-0.0013319497714344107,-0.004484237713673362,0.0019269531453121214,0.0012908283375820963,0.00022066625376378085,-0.001595931982708101,0.0009082849105820824,0.0012714619133429364,0.0015187096772226569,8.398585937276925e-05,-7.36845484024053e-05,0.000532814590362786,-0.0005933089414937404,-0.0010888193185930812,0.0007067703550760392,0.00011170096565557619,-0.0001573854652344023,0.00037024288067304226,0.001998337769567974,0.0012818337664982518,-0.000490281942528391,0.0004658135352595293,0.0002073562739107856,0.0002506768713479977,-0.000593308235908938,-0.0006667131720051791,8.145902475595818e-05,-0.000551258898455748,-0.00016858409353051688,-5.301354529221929e-05,0.00022975350349615598,0.0001128882272041847,-0.0001157019174034109,0.00023870290927248235,7.387222627951342e-05,-0.00015257442197078592,4.086642677411582e-05,3.0187408207320096e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,112226,0.005595747813559932,-0.006042696547574586,0.010783460866558356,0.00039548063154556473,-0.0041888039160646266,-0.004218498165276337,0.0016237415240544309,-5.750284853083436e-06,0.0021307827864872316,-0.0008238610963861446,0.0006904527930825489,0.004898706195459918,0.0012042829822510454,-0.000876549249240311,-0.0006915552550279978,0.0008480448691959842,0.0007247321984528145,0.00012641443187151046,0.000926163573373078,0.0009146279351771055,-0.0009524772089956656,0.0013944876989096973,-0.004069628847327263,0.0007069251636838772,-0.003491483759321657,0.0019464545751176354,-0.0006849867774328848,0.0033871729473807363,-0.00120942869378911,-0.0008228540238796512,-0.0007258837517426808,0.0008813851807829559,-0.000703385283459912,0.0022543604483799555,-0.0006627831876825244,-0.001631740304061958,-0.0003605019234696331,0.00033841229520033603,-0.001088234300469466,0.0014329254472859282,0.0002829200610792936,0.0007263506020700353,0.00141618145120962,0.0010863612994944786,2.784389530485087e-06,-0.00031759767801300964,0.0024026215280451516,0.0009435799767461255,0.0005500394149187993,-0.0005226645274834463,0.0003480174459468723,0.0007757054698867908,0.0002886880688910683,0.0002086010544724249,-0.0007168681676619002,0.00013363534707637383,-0.00024046050243184291,0.0009445961748310577,-1.6581929422499564e-05,-5.4343520074653134e-05,0.00046835159484424346,-7.50120524391928e-05,-0.0006457755853059282,-0.0004178693806381786,-7.412780937172619e-05,0.00014690941845431704,1.921996363483756e-05,-0.00026916441024684015,0.00014027470685741425,0.00010335028971496544,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,112227,-0.004191941694678401,-0.009258557292090006,-0.0029432297420760793,-0.002991040054396281,0.0032004849148548863,-0.001125585259338258,-0.0007717786742232679,-0.001794690321665067,-0.0021128368610648647,0.00353102492445889,-0.0014535044678712936,-0.002021880185126023,0.00021614531938441312,-0.0006290398826421525,-0.0015709771467616051,-0.003677643617356408,0.0030922852294872367,-0.001906594094581197,-0.0016297508221725493,0.002244721544164498,-0.0003199112502845644,0.00224340022793473,0.0021033970993048477,-0.0023088750917889095,0.0021515268916382003,0.001947188984634932,4.8683782873364986e-05,-0.00026454350679348864,0.0007112319678824352,0.0004225790777588859,-0.00025863204502582195,0.0012129704815868044,0.0007483356730907806,0.001582344809386298,0.0011283334313054174,-0.0005119738235251138,0.002043468687776898,-0.0006257510503550975,0.001126479772339139,-0.0011547167051866353,0.0019170748094481439,-0.001502668935360449,0.0001366819982289029,-0.0017867002736397593,0.0005049518967251519,-0.00013189889407146286,-0.0001615178579491934,0.0010765700697964002,0.0002464884919320078,0.0005873176923544208,5.953849863917826e-05,0.0009232487273073575,-0.0001612359199123086,0.00019700638538065803,-0.00024004315156646525,-0.0012586385325328436,0.0003699398658643541,-0.00031448419813364346,0.0003334062990412867,-0.00010867319834545612,0.0010716054767311192,0.0005657115753529807,7.978937657459042e-05,-0.0006174135689010312,-0.0001393038563133214,-0.00023348113826626046,8.98346010153554e-05,0.00020099434450308512,-0.00011688424300438369,1.115580691256953e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
