sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205
C1,112217,-0.025732487404905687,0.0034780309673940074,-0.05866786776690623,0.005264406852778428,0.0047029343261443665,-0.02648816756076935,0.04047338491892222,0.0034605655024493066,-0.010811465533026195,-0.006968260589453801,-0.004361349500892313,-0.01086360722967897,0.008453883776861511,-0.007808339730701059,-0.009746910067425061,0.008804908348647675,0.011772798574095312,-0.019379719241034682,0.006371551324739313,0.009545858765196126,-0.018137438383474643,0.008759032781405779,0.009101053735985139,-0.01069934457642611,-0.014053696663976274,0.01095904987984781,0.003486117525072471,0.0004741984839311372,-0.006761285928190255,-0.012858142117080801,0.010531705017364269,-0.009062692888039644,-0.0027140720481396248,0.003930719248962242,-0.005306757599827549,-0.0013051285225479429,-0.0007656473141762981,-0.0032929044815223534,0.004808417440842626,-0.003865196003697201,-0.00202660398708425,0.001753384686107018,0.001593219009632065,-0.00099824300256704,-0.002661954572771478,-0.0004909070999981961,0.00021428115097809968,-5.333402914134205e-05,-0.0011200252068796015,-0.0006370188401250118,0.000716338729940639,0.00016492443260955348,-0.0007581237194135684,0.00038823019765355996,-0.0001877187395087473,-0.0001138625490957481,0.00010080306746923098,-2.3390372210801346e-05,0.00034995921662057136,-6.221290452326734e-05,-0.00017688946875130812,0.00017196251653710132,0.00012609382681382124,-1.2448536171234722e-05,3.881439506412522e-05,-5.816952000135472e-05,2.2652379909059757e-05,5.510814996121051e-06,-2.647789086381581e-05,-3.6571544801478254e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10,112218,-0.0041047326482851944,0.005531844454800241,0.000719960383844447,0.008572862577095528,-0.013195305911448272,0.00013210834650349804,0.012508782522607523,0.0015869640421963434,-0.0008467267253468658,-0.001454090613336374,0.001542188487852661,-0.003422681611290781,0.004678975335857866,-0.006058318356949619,-0.004565399330942023,-0.005232530214029837,0.005678497793951263,-0.011007936887847816,-0.0012654214257823686,-0.007242993501761653,-0.0034565787892837773,-0.0073487693018263,-0.00045167689117741927,0.0003560999834206315,0.0010228279217401905,-0.003047251112626898,-0.0009984423526039842,-0.0036001690089762124,-0.008036696918509969,0.0017799006784979272,-0.0023058237834882272,0.00040810821020655595,-0.002005650640056919,0.006495647395338234,0.003919233942743698,0.001958230410308361,-0.0010291414768141126,-0.0017817199996465036,-0.0028879070134895275,-0.0012265179003184254,0.00488412568278265,0.0012474693882430492,0.00028490953685785447,0.0010984373380499852,-4.63111161824051e-05,0.0029191071875221486,-0.0012675528427338854,0.00010952221094353945,0.0012391397429585816,0.001349350599860266,0.0014148385424826387,-0.0015094535382602907,0.0012048087376688363,0.001054294021085495,0.0002446734677390678,-0.0010192942583025705,0.0007670121037639177,-8.594452970462938e-05,0.00041697328322385947,-1.6948238792340686e-05,-0.00035617467702235556,0.00030503689019951795,2.455066859484418e-05,-4.7013109414014916e-05,0.0002931260583552514,-0.000291136171256555,-0.00010476518681029212,-6.0389845523654395e-05,-0.00019294200415476205,3.4249107264439244e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11,112219,-0.04130584477502186,0.05272987243395374,0.03618191797405331,0.021537594894149237,-0.018431257986112063,0.008701110304773179,-0.024122740541679805,-0.009625717084261977,0.004726646081125323,-0.007377934129009269,0.007620832167101931,-0.006075223966949524,0.021961492708170795,0.024727647220135738,-0.02712416518992374,0.02989027387292672,-0.01821690345521111,0.018902771465363077,0.002505947064118882,0.0004618815770505214,-0.00455688878894109,0.0003261858663562412,0.008160825427862686,0.006955454091126458,-0.0013962432875881934,-0.004519277350560275,-0.004379526915517459,-0.010503301399065159,-0.01344628424684854,0.007044689016666712,0.001253147362891751,0.0013352959633933976,0.0015821024782300894,0.004218782377967861,-0.005745967611026399,-0.0008120436863503012,-0.0006687077472259037,0.004612767455778264,-0.0016825353601564793,0.000434967736789638,-0.0018929196728596676,-0.0009154322037256686,0.0002657095254256784,0.0008626959114532436,0.00026168262416558505,-0.001981365513767476,0.0003328040431027378,0.0007609096080115106,0.000784694168705299,-0.0001194320054417147,0.00012472926360574665,-5.682427519319275e-05,-6.347080092496142e-05,0.0007816156164458356,-0.0005843391522140293,3.9544187888668626e-05,7.555795921476522e-05,-5.666774746468526e-05,-0.0001850531858643766,-0.00030915394877688453,-0.00012903078936362468,-5.8033385272451235e-05,0.0001261815854653614,-0.00012695091090549382,3.1748853538470556e-05,8.419833381046813e-06,-2.792658936764516e-05,1.1961522323657226e-06,1.2575528641816825e-05,-2.78891662482192e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12,112220,-0.017575698662315568,0.004131224364847935,-0.006240221801750206,-0.005003014325581215,-0.004434323420854462,-0.0010305850664276328,0.0040380593718825405,0.008651740810998208,0.001253567509947449,-0.004109721750369732,0.0032082320971084225,8.931727377936281e-05,-0.003039316407053174,-0.00014486032981278878,0.0027698672616817944,0.001624456127650251,0.000955035584979323,0.0010527744171354612,-0.001469870401481845,0.0002199789789943273,0.002426047314280648,-0.004753676636819785,-0.004107877507599742,-0.001040787955486364,0.006897051241885047,0.003510007401041339,-0.005152022181548752,0.0005758322461764081,-0.0013220564602906167,0.001132741020860534,0.0007602570773491091,-0.0007377693436910432,-0.002945748374986941,-0.001713942428746097,-0.0066021147560851685,0.0023732674713857955,-0.002427629570721991,-0.0028715661672403243,0.0010876433879052313,-0.002835910452857805,0.002137055289643749,-0.0015377919230368992,-0.002412872664950605,-0.00027097330211043664,-0.0020564373523526687,-0.002704364767731764,-3.4385273615318366e-06,-0.0009476996689952866,0.0015026526505191702,0.002651850569417674,0.0003409765861608789,-0.0004886017554447519,-0.001286610806109197,0.0008657532932743008,-0.0001043959947957851,0.00042747060560739463,6.0737267838597206e-05,-0.00014665331034157588,-0.0006754752074384663,-0.00018868796529586957,-0.0008598110110491212,0.0004856428124935222,-0.001097509870314576,-0.0002727859811488967,0.0006233626056650753,-0.00016407304995697455,-0.0005557175598379044,0.0002452303585287231,-0.0001389425002869398,7.234884515046286e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13,112221,-0.034276999474259606,0.010962983483254746,-0.013850590820137235,-0.0051035228264644465,0.003972466200484091,-0.004533757217809676,-0.006828574262457684,-0.00872017507059499,-0.002824751477786878,-0.002588698057038991,0.009762972216752363,-0.004733636397708808,-0.007465488117034268,-0.0031670461642984813,-0.0010253160595964862,0.0016731096950759708,-0.00299174141706743,0.0006765621036159236,0.004143359610481092,0.002774385742640327,-0.004446984056664691,0.010392278671732263,0.004668803332534102,0.001925967106842382,-0.00828335337532079,-0.005716349704720942,0.002679823251142048,-0.0032861614935419917,0.0037140392711404826,-0.0015904562022021017,-0.005119292184078174,-0.006341576766050429,-0.0005659207079761929,-0.0028106526466401527,-0.0005009804196056368,0.0017208512371329155,-0.0024006953036725905,0.00027775147174056536,-0.00046606827038595965,-0.0034164174749601495,0.0024600593332018586,-0.001961823513862604,0.0008181490873956061,0.002119720347760329,0.0032695773997988204,0.0030909873621511675,-0.003154315435857696,-0.000378243620410423,-0.0016927331991551005,0.0004737621549194301,-0.001999456406541461,0.001483822471647004,0.0011131538922247524,0.00011993573395064548,0.001298426254034272,0.0009871360820790079,-0.0005752913212443603,-0.00029637660691536713,-0.0008062309188892837,0.0007693365727866013,-0.0005270349091606401,0.00014777693793934817,-0.0004069627920615783,-0.0004257898443600456,-0.0007510719211580407,-9.723949979215399e-05,-0.00032979645220223674,-0.00010365735403377524,-0.00018011186460142574,1.5787635077344445e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15,112223,-0.02609911793998342,0.008541976946342865,-0.012657388278519296,-0.007397586808208792,-0.003055975929759513,-0.005398971887682113,-0.0029917014690119077,0.0008548465040137962,-0.0002231606401578653,-0.004791603508672092,0.006255178902872447,-0.0025731334537072614,-0.008169447621998296,0.001055014338205672,0.004868638990188174,0.005289276497239357,-0.00025881303892448906,-0.002293413693882699,0.001328422796579579,-0.0016366416526166262,-0.0002672980348443886,-0.0019032717928749402,9.377433607215109e-06,-7.553482310971233e-05,-9.104660185680201e-05,0.001723017027375923,0.00401284393838962,0.0010080738429615603,0.0002554862165105051,0.0022822885834779443,0.0012008692805983035,-0.0022974852293483933,-0.002762433999297214,-0.002207423083409474,0.0009726851706662257,0.004425755860184079,0.0016886736624961189,0.0018476167450167118,-0.0019347261691886489,-0.0029215655613528536,0.002626497396220759,-0.00018154074974561463,0.0005670195951909786,0.0025340766437496566,-0.002326164612543533,-0.0001468007360672628,2.3132370894085943e-05,0.0011493162367114966,-0.00038147452744423583,0.0008578978227996684,0.00239273559932981,-0.00015063162074905597,0.0006756326796106027,0.000613301289740437,-0.0013652041481981834,-0.0008437392753189528,-0.0004382289085895445,-0.0014890121643907077,-0.0011067601224233614,-0.0006485796256566895,0.0002115202371959146,0.0018351481968316614,0.00017224074474783192,0.00027161728937076816,-0.00047361427471965997,0.00019451455968708342,0.0002597426435546999,0.00047192882479646446,0.0005541136693255625,3.544911194872655e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16,112224,-0.02990629320254285,0.027567754008089487,0.019160960745359834,0.008641519006951318,-0.012979754671393777,0.007237937415092016,-0.014605433230772147,-0.020391529457668874,-0.015508649935608701,0.006014177902732036,-0.021472510534552562,-0.0047274642565842285,0.003958756149286945,-0.003468843188764069,0.00885529981600778,-0.01474385756391397,-0.004495792460346025,0.008752244268760747,0.007686096756446755,0.003545578593369412,-0.004266644823327696,-0.010077352437959432,0.005569975224381187,-0.0012362056445830813,0.0006173749681173447,0.007467632865855613,0.0060506984654534485,-0.006093939568017051,-0.004440021412049244,0.006006044121903862,-0.0024122703763800714,-0.0016906707762043705,0.002158530041703432,-0.0010324413408314519,1.5485989303876672e-05,0.0027778580063933657,0.006213098956639796,0.001013714876968304,0.006381229171120904,-0.004666395977372904,-0.0033822695171289337,0.0008183018088833141,0.002293451092912516,0.0027065960068235416,-0.0006405622469302018,0.0019436809772747576,-0.0002069797623436079,0.00010928686475999425,0.0003015598256837548,0.0006973279628951269,0.0011502438026517923,-0.0006024143074099028,0.00026839989199060145,0.000281198718606107,0.0004788451917986577,-5.328205849118967e-05,1.998508935823471e-05,0.0005266905708116179,-0.0001024983060190081,0.0002269759346238055,0.0004663220033115484,7.734854037333801e-05,-0.00031580972143099904,-3.790484057526704e-05,-4.3666313066382095e-05,1.9900527948805214e-05,0.00015151903435831488,-6.747182546799069e-05,-2.4267590263280923e-06,-8.491063381923808e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2,112225,-0.037544348938554975,0.012122023596588252,-0.013156658042758606,-0.001780917113301302,0.005853380006443036,-0.004823195616798609,-0.010990876664496564,-0.009587527770434852,-0.00025324218779670065,-0.007929600468868432,0.007863457618455328,-0.004362617675564149,-0.005856043316597648,0.0014360513623982944,-0.0012810392903074238,-6.754656084151263e-05,-0.005956029734611796,-5.041847936244255e-05,0.0015645445946391675,0.004784605653145838,-0.0014799651872215705,0.009925771109157393,0.006686354991086374,0.0052433076935046305,-0.006520102241049734,-0.0055531154759750284,-0.000992038908644229,-0.0037858289222307316,0.002674506404198642,0.0016592096329185709,-0.004814123751981553,-0.003100315612831371,-0.001624421273078259,0.00010615852660686117,0.001712912853825293,-0.0013599298109611834,-0.0037938905962381876,-0.0013435862209570967,0.0037921923082021745,-0.004174642002763834,0.004913190156462352,-0.0031799660688413053,0.0009229661523036524,0.00012846159112622923,0.001958599408385392,-0.0021393787360637654,0.00041400162448995605,0.0009692114826666755,0.0024118587898044994,0.000996677073234423,0.0004721827926761368,-0.0020211946140383037,0.001992824998864425,-0.001007839608562338,-0.0011077407489205426,-0.000647336446310277,0.0008557757285617936,0.0007514224296866268,0.00019564852988469592,-7.478550581166981e-05,0.0005751326855421842,-0.00017275183943159613,0.0002268206841781496,0.0006723634377076043,0.00045993035556038034,0.0005927023007340002,0.00017117150236654264,-3.67451670591766e-05,0.00012000599567093337,-4.0565632042430493e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,112226,-0.023860542114859166,0.005379843165653218,-0.02002044741518485,0.0016518072285657112,-0.004678191630634644,0.0007979579082701579,0.0036289113021926596,-0.000986027247655709,0.00023477839098475262,-0.0013574210755198724,0.0003043369036943346,-0.0038596929333216227,-0.005969682744815809,0.0021872188870020186,-0.002241345452108476,0.004197713634598763,0.0020774305033385287,-0.005418440200136564,0.008101095431858262,-0.0069418979085397415,-0.005250069013333145,-0.004256923246279894,-0.00249991162650004,0.0011802073087672667,0.003161709626843325,0.001960405405425562,0.0017155722775474879,0.0018190302278847197,-0.00011783052379396255,-0.002987987892386732,0.002564543991652434,0.0009601414011026951,0.003397355767806252,-0.0019012796992911708,-0.0003629916334426494,0.00020776855772986885,0.004725439631962066,0.002751905943951023,-0.0023159576722825126,0.0009459195359475198,-0.002796022510029363,-0.0035522641127819204,0.004001379820262615,0.001831971696836761,-0.0006754886507217803,-0.0008535501546026919,0.0017368181811052734,-0.001245655625164724,-0.0003582084940449725,-0.0005036023785517628,-0.0020324264859685765,-0.0005152645146095173,0.0007165126487650266,7.138014195312303e-05,0.0006137215880069102,0.000790886356761483,-0.0008270422380071221,0.00021117834749431345,0.0006813968589233524,-0.002450107666696956,0.00024669972537690635,-8.269825302008385e-05,9.165018715806733e-06,0.0003497350366287752,-4.0998971013191744e-05,-0.0004673579783875253,0.00031866414265567137,0.00016273551776841214,-3.6840532996151195e-05,5.7182631755803665e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,112227,-0.026108500287796963,0.009784977484079109,0.00013764342190136994,0.0009171926389057689,0.001643184194673735,0.00047398056239480134,-0.004166273433998284,-0.0028037159763627524,0.0005527460396505658,-0.003914085477371203,0.003254536780620477,9.305471965562828e-05,-0.00024261521954355207,-0.0011131786923211894,0.0012215117461347213,-0.001882787320228049,-0.010117657960897461,0.0007537345469827421,-0.0011334424070741024,-0.000270459606215491,0.002187977657282877,0.0044619466901561836,0.0036372296563739687,-0.003177676659418739,-0.000655832201494637,-0.00012963024742304661,0.004051910541251453,0.0014649465493705713,-0.0017822484844803007,0.0011333201496950068,-0.0013071483900931008,0.003939172255905764,-0.0025623236912425303,0.00027834509095197224,0.003326533731178538,-0.0034829919303529886,-0.0008141621588607912,0.0008540630894366024,0.002771717127489575,0.0012566677236050127,-0.0025314006730302397,0.0021952709992829416,-0.003563265558243149,-0.0020808812019997456,7.711650760563364e-05,-0.002497650546957229,0.0010171602609170937,0.0001062155337576849,-0.0007509053523139281,0.001868422262649364,-0.0004165319484996,-0.00016479698883799276,-3.244338377671421e-05,-0.0008585885129304716,-0.0005614292966388276,-0.000593150969822965,0.0008491406437195728,0.00031609509255276056,0.0011323528864369868,-0.00038893537760985444,-6.660723740629241e-06,0.0011473908890589878,0.0012064275032135654,0.00014286328333326147,0.0006784896084094599,0.0007992970674588361,-0.0005559444552173901,-0.0003985283143250298,-0.00017474327172039024,5.6581682431351106e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
