ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
87732	C	C31/C17d	None	155	168	C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f	62831/49066-41-38924-70819-62836-70818-70820	0.369[0.073]/0.327[0.079]-0.131[0.024]-0.044[0.010]-0.044[0.035]-0.030[0.012]-0.030[0.010]-0.025[0.013]
87130	C	C31	None	48	97	C31-C17d-C31.1-C31a-C21-C17e-C21ac	62831-49066-62833-70819-41-70818-38924	0.544[0.033]-0.157[0.033]-0.120[0.012]-0.079[0.008]-0.040[0.009]-0.038[0.011]-0.023[0.004]
87822	C	C31	None	29	29	C31-C17d-C21-C31.9-C21ac-C17e-C31h-C31a	62831-49066-41-62836-38924-70818-471943-70819	0.418[0.019]-0.285[0.023]-0.113[0.022]-0.053[0.007]-0.042[0.012]-0.039[0.006]-0.034[0.010]-0.016[0.012]
87733	C	C17d/C31	None	28	52	C17d/C31-C21-C21ac-C17e-C17f-C31.9	49066/62831-41-38924-70818-70820-62836	0.425[0.035]/0.290[0.031]-0.140[0.013]-0.047[0.005]-0.042[0.012]-0.035[0.007]-0.020[0.009]
87823	C	C31/C17d	None	15	25	C31/C17d-C21-C31.9-C31h-C31i-C21ac	62831/49066-41-62836-471943-70991-38924	0.423[0.045]/0.272[0.032]-0.107[0.023]-0.072[0.016]-0.047[0.008]-0.047[0.018]-0.031[0.009]
87435	C	C31/C17d	None	6	27	C31/C17d		0.563[0.168]/0.437[0.168]
87129	C	C31/C17d	None	6	23	C31/C17d-C21-C21ac	62831/49066-41-38924	0.421[0.161]/0.345[0.161]-0.152[0.028]-0.082[0.023]
87388	C	C31/C17d	None	6	28	C31/C17d-C21-C21ac-C31.9	62831/49066-41-38924-62836	0.409[0.091]/0.394[0.095]-0.119[0.061]-0.042[0.017]-0.036[0.025]
87257	C	C3/C1	S. goreaui	3	155	C1/C3		0.616[0.143]/0.384[0.143]
87429	C	C21	None	2	48	C21/C3	41-32	0.828[0.012]-0.172[0.012]
87198	C	C21	None	2	37	C21	41	1.000[0.000]
87209	C	C3	None	2	49	C3	32	1.000[0.000]
87517	C	C21ac	None	1	4	C21ac	38924	1.000[nan]
87918	D	D1/D4	S. glynnii,S. trenchii	180	184	D1/D4-D6-D1ab-D3h-D4d	853/854-933-1674-70902-1660	0.370[0.018]/0.363[0.021]-0.193[0.014]-0.042[0.007]-0.018[0.004]-0.014[0.003]
87617	D	D4/D1/D6	S. glynnii,S. trenchii	16	135	D4/D1/D6-D1ab-D3h	854/853/933-1674-70902	0.364[0.076]/0.346[0.070]/0.214[0.056]-0.047[0.018]-0.029[0.023]
87549	D	D4/D1/D6	S. glynnii,S. trenchii	6	76	D1/D4/D6/D1ab	854/853/933-1674	0.363[0.049]/0.347[0.115]/0.244[0.097]-0.046[0.027]
87936	D	D1	S. glynnii,S. trenchii	1	34	D4/D1-D6-D1ab-D17d-D17j-D3h	853-854-933-1674-70902-2582-1768	0.377[nan]-0.369[nan]-0.182[nan]-0.045[nan]-0.018[nan]-0.005[nan]-0.005[nan]
87537	D	D1	S. trenchii	1	48	D1/D4	853-854	0.707[nan]-0.293[nan]
87540	D	D4	S. glynnii,S. trenchii	1	46	D1/D4/D6	854-933-853	0.563[nan]-0.252[nan]-0.185[nan]
