sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
112496	T16	10701	7041	324	7041	324	0	0	0	0	6819	9	0	0	0	104	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112232	C9	29520	22344	658	22344	658	0	0	0	0	21599	11	0	0	0	440	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112417	O2	37419	28044	840	28044	840	0	0	0	0	27327	11	0	0	0	562	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112497	T2	25772	18741	638	18738	637	3	1	0	0	18173	9	0	0	0	393	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112218	C10	38365	29015	813	29015	813	0	0	0	0	28257	11	0	0	0	605	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112410	O10	9015	6033	244	6033	244	0	0	0	0	5936	8	0	0	0	132	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112268	F12	27722	20667	659	20663	658	0	0	4	1	19980	9	0	0	0	448	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112242	D3	32704	24353	766	24353	766	0	0	0	0	23700	11	0	0	0	514	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112420	O5	33746	24957	815	24957	815	0	0	0	0	24269	10	0	0	0	534	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112411	O11	29572	22141	770	22141	770	0	0	0	0	21561	9	0	0	0	492	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112409	O1	58374	42953	1049	42953	1049	0	0	0	0	41516	9	0	0	0	951	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112414	O14	42494	32034	897	32034	897	0	0	0	0	30937	10	0	0	0	705	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112422	O7	35561	25779	797	25776	796	0	0	3	1	24986	9	0	0	0	575	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112503	T8	26743	19752	656	19752	656	0	0	0	0	19117	9	0	0	0	448	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112237	D13	35277	26847	830	26847	830	0	0	0	0	25871	9	0	0	0	613	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112412	O12	42644	31707	881	31707	881	0	0	0	0	30668	9	0	0	0	729	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112270	F14	23001	16964	584	16964	584	0	0	0	0	16467	10	0	0	0	388	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112314	I12	29582	21830	760	21830	760	0	0	0	0	21107	9	0	0	0	504	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112492	T12	18503	13618	530	13618	530	0	0	0	0	13210	9	0	0	0	316	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112500	T5	24464	18166	631	18166	631	0	0	0	0	17567	9	0	0	0	421	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112271	F15	24194	17908	644	17908	644	0	0	0	0	17376	9	0	0	0	420	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112326	I9	20166	14966	525	14966	525	0	0	0	0	14462	11	0	0	0	340	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112490	T10	16869	11917	455	11917	455	0	0	0	0	11561	10	0	0	0	278	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112235	D11	31022	23094	721	23094	721	0	0	0	0	22479	10	0	0	0	552	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112312	I10	46873	34754	886	34754	886	0	0	0	0	33550	13	0	0	0	801	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112265	F1	32722	24468	722	24468	722	0	0	0	0	23730	10	0	0	0	583	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112489	T1	28146	20759	686	20759	686	0	0	0	0	20045	9	0	0	0	497	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112220	C12	18774	13296	556	13296	556	0	0	0	0	12860	10	0	0	0	314	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112491	T11	21071	15458	597	15458	597	0	0	0	0	15061	9	0	0	0	376	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112499	T4	30517	22743	699	22743	699	0	0	0	0	21846	9	0	0	0	546	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112273	F2	30929	22788	756	22788	756	0	0	0	0	22068	10	0	0	4	549	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112321	I4	21007	15283	560	15283	560	0	0	0	0	14679	10	0	0	0	365	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112277	F6	6041	3859	168	3859	168	0	0	0	0	3773	11	0	0	0	75	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112276	F5	13795	9801	421	9801	421	0	0	0	0	9645	11	0	0	0	193	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112226	C3	20682	15235	586	15235	586	0	0	0	0	14713	9	0	0	0	372	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112266	F10	17326	12555	479	12555	479	0	0	0	0	12207	9	0	0	0	310	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112238	D14	37915	28448	821	28448	821	0	0	0	0	27601	10	0	0	0	679	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112501	T6	17854	12853	487	12853	487	0	0	0	0	12486	12	0	0	4	305	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112269	F13	31019	23258	740	23258	740	0	0	0	0	22515	9	0	0	0	576	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112419	O4	40534	30176	845	30176	845	0	0	0	0	29101	9	0	0	0	745	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112240	D16	29163	21448	695	21448	695	0	0	0	0	20970	9	0	0	0	537	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112248	D9	35737	26891	800	26891	800	0	0	0	0	26016	13	0	0	0	622	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112502	T7	26117	19391	674	19391	674	0	0	0	0	18768	11	0	0	0	468	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112504	T9	27251	20265	632	20265	632	0	0	0	0	19534	9	0	0	0	505	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112243	D4	27103	19667	666	19667	666	0	0	0	0	19027	12	0	0	0	482	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
